employee_id,employee_name,department,designation,city,region,join_date,experience_years,basic_salary,bonus,deductions,total_salary,attendance_days,performance_rating,is_active
1,Employee_1,Finance,Manager,Bangalore,South,2023-05-26,1,31561,14836,721,45676,236,5.0,True
2,Employee_2,HR,Manager,Bangalore,South,2023-10-02,12,34227,6439,1325,39341,221,2.0,True
3,Employee_3,HR,Analyst,Bangalore,South,2024-05-02,12,21760,13326,1164,33922,252,5.0,True
4,Employee_4,IT,Lead,Hyderabad,South,2023-03-20,12,51582,1996,5831,47747,253,3.0,True
5,Employee_5,Finance,Lead,Mumbai,West,2023-03-06,3,47307,10501,4025,53783,205,,False
6,Employee_6,Finance,Lead,Hyderabad,South,2023-03-23,10,35390,4348,808,38930,205,,True
7,Employee_7,Operations,Lead,Pune,West,2024-07-12,8,53227,16168,7548,61847,200,,True
8,Employee_8,HR,Manager,Pune,West,2024-06-13,5,62129,14812,1383,75558,250,1.0,False
9,Employee_9,Sales,Executive,Bangalore,South,2024-01-15,15,49118,12429,6431,55116,249,1.0,False
10,Employee_10,Sales,Lead,Pune,West,2023-09-25,1,79515,13885,6481,86919,224,4.0,False
11,Employee_11,IT,Manager,Pune,West,2024-05-20,10,47981,15711,2759,60933,226,4.0,False
12,Employee_12,Finance,Analyst,Bangalore,South,2024-03-26,6,79907,13947,6551,87303,231,3.0,True
13,Employee_13,Finance,Lead,Hyderabad,South,2024-08-22,13,33663,10317,4026,39954,259,2.0,True
14,Employee_14,HR,Manager,Pune,West,2023-10-11,12,61056,14599,3371,72284,215,,False
15,Employee_15,IT,Lead,Delhi,North,2024-06-04,8,51395,12061,7791,55665,228,,True
16,Employee_16,Sales,Manager,Bangalore,South,2023-05-01,10,45279,13561,2814,56026,205,2.0,False
17,Employee_17,Operations,Lead,Hyderabad,South,2023-08-03,10,77678,17175,7998,86855,253,,False
18,Employee_18,Operations,Analyst,Hyderabad,South,2024-03-04,9,50983,1413,582,51814,205,3.0,True
19,Employee_19,Sales,Executive,Chennai,South,2023-11-27,1,30451,14988,7950,37489,214,4.0,False
20,Employee_20,Operations,Analyst,Mumbai,West,2024-01-26,13,41221,7106,2672,45655,253,1.0,True
21,Employee_21,IT,Analyst,Bangalore,South,2024-02-03,10,30137,14006,3030,41113,232,4.0,False
22,Employee_22,Operations,Manager,Pune,West,2024-01-03,15,71610,15476,5338,81748,254,4.0,True
